08yJ9,6k1/1N3ppp/p1p2n2/4p3/1r6/4P1P1/5P1P/3R2K1 b - - 0 29,b4b7 d1d8 f6e8 d8e8,400
0CBPG,6k1/pp3rp1/6P1/8/8/P2R4/1KP5/8 b - - 0 30,f7c7 d3d8,400
0DR3B,5B1R/7R/4kb2/p1p2p2/Pp2r3/1P6/2P5/1K6 w - - 2 42,h8g8 e4e1 b1a2 e1a1,400
0HfWa,8/4ppk1/6pp/2Q5/4r3/P5Pb/5P1P/2R1q1K1 w - - 6 32,c1e1 e4e1,400
0ckUa,4q1k1/ppb3pp/2p5/8/3P4/3Q2NP/PPP3P1/7K w - - 0 29,g3f5 e8e1 d3f1 e1f1,400
0zEUE,3QrR1k/4r1p1/6Pp/7P/pp2q3/8/PP6/K2R4 b - - 1 33,e8f8 d8f8,400
1ISXF,4r1k1/5ppp/8/pp2P3/3p4/3P3P/1PR2PP1/6K1 b - - 0 30,e8e5 c2c8 e5e8 c8e8,400
1K2Ce,Q7/p1p1kpp1/1p1q3p/1P6/8/7P/P4PP1/5K2 w - - 6 32,a8a7 d6d1,400
1N2CB,8/2p3pk/8/1P1Q1p2/3P4/r5pP/6P1/6qK w - - 0 32,h1g1 a3a1,400
1dmBc,6k1/5pp1/2b1p3/pp2P1p1/8/P4P1P/1r4P1/1BR3K1 b - - 0 28,c6d5 c1c8,400
dHMYr,4Q2k/ppn3p1/7r/2pP1B2/2P5/q5P1/4R1KP/8 b - - 1 37,c7e8 e2e8,401
nbX5s,5rk1/1p5p/p3brp1/2Qp4/8/2P5/P1B3RP/4RqK1 w - - 3 31,e1f1 f6f1,401
oxwBm,k2Q4/pp6/8/3q4/8/PP6/K1PR4/4r3 b - - 0 41,d5d8 d2d8,401
ztVZ2,4rk2/pp1R1p2/2p2Qp1/4p3/2P1P3/5P1B/PP5P/1K2q3 w - - 1 27,d7d1 e1d1,401
M1sMH,8/1P6/1r6/3R2p1/4P1Pp/3n1Pk1/P5P1/6K1 w - - 3 42,d5d3 b6b1 d3d1 b1d1,401
9i0Ov,5k2/1p1qnpp1/p6p/2Q5/P7/4R3/1P3PPP/6K1 w - - 1 32,c5a7 d7d1 e3e1 d1e1,402
PLxIg,r4rk1/pp3pbp/2q3p1/3pP2R/8/1PPQ4/P1B2P2/RN2K3 b Q - 0 17,g6h5 d3h7,402
aTJIp,1r6/p4pk1/3N3p/2R1P1p1/3P1n2/P7/7P/7K w - - 1 35,c5c7 b8b1 c7c1 b1c1,402
eQyl2,1r1r2k1/5pp1/7p/pp6/8/P1R4P/5PP1/2R4K b - - 0 38,d8c8 c3c8 b8c8 c1c8,402
D39Zy,3b1rk1/1R6/p2P3p/4prp1/4q2P/5P2/6Q1/5R1K w - - 0 38,f3e4 f5f1 g2f1 f8f1,403
IOG3k,6k1/ppr3p1/5n2/5pN1/P7/8/1P4PP/3R3K b - - 1 31,c7c2 d1d8 f6e8 d8e8,403
JfwEQ,2r3k1/5p1p/Q3p1pP/1p6/3p4/8/PP6/K1q4R w - - 0 33,h1c1 c8c1,403
MMmHF,2r3k1/1p3ppp/3N4/p2bP3/P7/4R1P1/5P1P/R1r3K1 w - - 7 28,a1c1 c8c1 e3e1 c1e1,403
hs041,1rb3k1/4q1pp/p4p2/1pNp1n2/1P6/2PR1Q2/P4PPP/3Rr1K1 w - - 1 26,d1e1 e7e1,403
sjebi,k1Qr4/p1R2p2/2P5/4p1p1/2P5/P3P1P1/4KPq1/8 b - - 1 30,d8c8 c7c8,403
x6ykp,6k1/p2Q3p/4p1p1/2p5/P2p4/1P1P2bP/2P1q1P1/1R3r1K w - - 1 35,b1f1 e2f1,403
z0sxf,r4k2/1pbr1pp1/2p4p/p1Pp4/3P4/P5PP/1P1BRPK1/4R3 b - - 9 29,c7d8 e2e8,403
6iE0E,5r1k/Rpp3p1/7p/1N6/2Q5/1P4bP/2P3P1/5q1K w - - 0 28,c4f1 f8f1,404
PP7Je,6r1/p6p/1p6/4k3/4n2P/8/PPP1R3/4K2R w K - 0 30,h1h2 g8g1,404
PY7GF,r5k1/p3qpp1/2p2n1p/n7/8/1BP2Q2/P1P2PPP/R1BRr1K1 w - - 1 20,d1e1 e7e1,404
QmlZO,r7/5rkp/1Q2p1p1/pNn5/3R4/8/PP4PP/3R1q1K w - - 2 32,d1f1 f7f1,404
TXw51,6k1/p4pp1/4p2p/3p4/8/1P5Q/P4RPP/4q2K w - - 1 32,f2f1 e1f1,404
TzN9Z,3rr1k1/ppq2ppp/4b3/3B4/2N5/8/PP2Q1PP/R3R2K b - - 0 23,e6d5 e2e8 d8e8 e1e8,404
pkmgl,3r4/2bP1k2/3R1p2/6pp/3p4/6BP/1P4P1/6K1 w - - 15 39,d6f6 f7f6 g3c7 d8d7,404
uDHrn,8/4kppp/1p2p3/p2p4/Pq1P4/4PP2/1PQ3PP/6K1 w - - 5 29,b2b3 b4e1,404
JOEpi,1R5k/7p/4P1pP/6P1/P2K4/1P6/2P5/5q2 b - - 1 54,f1f8 b8f8,404
1jlGP,2k2r2/1Rp1b2p/8/1p1rp3/1P2q3/2P2p2/Q4PPP/4R1K1 w - - 0 24,e1e4 d5d1 e4e1 d1e1,405
2Yhfi,4r2k/p2R4/5pqp/6pQ/2p5/8/Pb4PP/7K w - - 4 38,h5g6 e8e1,405
76r6s,3r2k1/p5pp/5p2/2p5/2P5/p1N1R3/P4PPP/3r2K1 w - - 0 27,c3d1 d8d1 e3e1 d1e1,405
PJjdI,5b1k/6pp/8/p7/5Q2/4Pb2/1q3P1P/5NK1 b - - 3 34,b2b7 f4f8,405
U45Ls,4rr1k/pp5p/8/6p1/8/P1P2pP1/1P1R3P/5R1K w - - 0 32,f1f2 e8e1 f2f1 e1f1,405
cWc3Q,r3q3/p1R2pkp/bp4p1/8/1P3Q2/P4P2/6PP/3Rr1K1 w - - 6 26,d1e1 e8e1,405
k8KY5,6k1/4r1pp/4P3/5P2/3p4/1P5P/2R2KP1/q7 b - - 1 42,a1a7 c2c8 e7e8 c8e8,405
rBcHN,2q3k1/p4p1p/1pP1p1pP/6P1/4PP2/P1N5/2P5/2KR4 b - - 0 27,c8c6 d1d8 c6e8 d8e8,405
x0GG4,7R/pp4k1/2pr2p1/6Rp/4B2P/4n3/PP6/2K5 w - - 3 39,h8b8 d6d1,405
07qIe,4rk2/ppp1rp1p/6p1/5Q2/3p4/P2P2R1/KPP5/6R1 b - - 0 25,g6f5 g3g8,406
AK3x7,r1b2k1r/ppp3pp/3p1q2/2bQP1N1/8/3p4/PPP3PP/RNB2RK1 w - - 0 14,g1h1 f6f1,406
D6zHR,1k6/1p6/p1p5/2P2Q2/4P3/r5p1/6P1/7K w - - 2 56,e4e5 a3a1 f5b1 a1b1,406
GulYe,7k/p4pp1/1p6/2b5/2Pp3q/3B3P/P4P1P/4Q1K1 b - - 0 27,h4h3 e1e8 c5f8 e8f8,406
dJbcD,r7/p2rkppp/1b2p3/8/4q3/1PP5/P3RPPP/RN4K1 w - - 0 20,e2e4 d7d1 e4e1 d1e1,406
fNJJV,r4k2/pp3p1p/4p1p1/4n3/2PNP3/7P/P4KP1/3R4 b - - 4 33,a8d8 d4e6 f7e6 d1d8,406
hNuqy,rnbqkb1r/pp1np2p/3pp1Q1/P1p5/2P5/3B4/1P1P1PPP/RNB1K1NR b KQkq - 0 9,h7g6 d3g6,406
hTXl6,r2qr1k1/5pp1/bpp1pn2/p7/3P3R/2NQP1P1/PP3PP1/2K4R b - - 3 19,a6d3 h4h8,406
wOchY,r2k1Q2/pbpn1p1p/8/1BpP4/5P2/2N3P1/PPP5/2K1R1Nq b - - 0 16,d7f8 e1e8,406
zbSvq,3r2k1/p4pp1/7p/4b3/P1Q5/2P2P1P/6P1/1R1q3K w - - 1 27,b1d1 d8d1 c4f1 d1f1,406
5cNNg,2r3k1/5ppp/3p4/4p3/4P3/1P6/3q1PPP/3R2K1 w - - 0 31,d1d2 c8c1 d2d1 c1d1,407
5nGMM,3r1k2/p1r2pp1/1b2n2p/1B1p4/PP3P1P/6P1/3BR3/4RK2 b - - 0 33,e6d4 e2e8 d8e8 e1e8,407
62spt,2Q5/pp4pk/2pb3p/3p4/3P1r2/P1P4P/1P4P1/1R3q1K w - - 0 32,b1f1 f4f1,407
965WH,5k2/p2r2p1/1p4K1/8/2R5/1P6/8/8 b - - 5 44,f8g8 c4c8 d7d8 c8d8,407
EL3q2,rk3Q1r/p1p4p/Bp1p4/2b1p1B1/3qP3/3P3N/PP4PP/R2K1R2 b - - 3 19,h8f8 f1f8,407
F6QGk,r4r1k/1p4p1/2p4p/p3N3/P3P3/1Q6/1P4PP/R4q1K w - - 2 22,a1f1 f8f1,407
h2oj6,7R/1p1kbpp1/p3p2p/q2pP3/5P2/P3P3/1P2Q1PP/6K1 w - - 0 25,e2c2 a5e1,407
j2SV9,3r4/2n1R2p/6pk/8/2p5/1P3N2/P4PPP/6K1 w - - 2 29,e7c7 d8d1 f3e1 d1e1,407
jVBnB,6k1/1pr3p1/4r2p/8/8/P7/1P3PPP/4R1K1 w - - 0 26,e1e6 c7c1 e6e1 c1e1,407
zIO7a,r3Q1k1/5r1p/2p3pB/p2b1p2/3P4/p1P5/6PP/4R1K1 b - - 1 28,a8e8 e1e8 f7f8 e8f8,407
3ULsE,1r3rk1/1N5p/4p1p1/p2pPp2/P1pP4/7Q/2P2PPP/6K1 w - - 1 31,b7d6 b8b1,408
